Authors,Title,Year,Source title,Link,Document Type,Source
"Winner L.",[No title available],1977,"Autonomous Technology: Technics-Out-of-Control As a Theme in Political Thought",,,Scopus
"McDonald J.F., Moffitt R.A.","The uses of tobit analysis",1980,"Review of Economics and Statistics",,,Scopus
"Eisenhardt K.M., Bourgeois L.J.","Politics of strategic decision making in high-velocity environments: Toward a midrange theory",1988,"Academy of Management Journal",,,Scopus
"Strang D., Meyer J.W.","Institutional conditions for diffusion",1993,"Theory and Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21144472531&doi=10.1007%2fBF00993595&partnerID=40&md5=879d7215940721feb13591815d36239c",Article,Scopus
"Teo H.H., Wei K.K., Benbasat I.","Predicting intention to adopt interorganizational linkages: An institutional perspective",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242454335&doi=10.2307%2f30036518&partnerID=40&md5=99488c2468f6be3886db3bc1e54e63fa",Review,Scopus
"Teece D.J.","Economies of scope and the scope of the enterprise",1980,"Journal of Economic Behavior and Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989069495&doi=10.1016%2f0167-2681%2880%2990002-5&partnerID=40&md5=2f21188134b55b740ad9afc5144b7273",Article,Scopus
"Thong J.Y.L.","An integrated model of information systems adoption in small businesses",1999,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033277399&partnerID=40&md5=4318aa200551f5c92768c71b37c65b28",Article,Scopus
"Greenbaum J., Kyng M.",[No title available],1991,"Design at Work: Cooperative Design of Computer Systems",,,Scopus
"Selznick P.",[No title available],1957,"Leadership in Administration: A Sociological Interpretation",,,Scopus
"Rosenberg M.J.",[No title available],2001,"E-learning: Strategies for Delivering Knowledge in the Digital Age",,,Scopus
"Orlikowski W.J.","CASE tools as organizational change: Investigating incremental and radical changes in systems development",1993,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542493643&doi=10.2307%2f249774&partnerID=40&md5=8f3d7443d618fbc1a74a8a6640cff8fb",Article,Scopus
"Kwon T.H., Zmud R.W.","Unifying the fragmented models of information systems implementation",1987,"Critical Issues in Information Systems Research",,,Scopus
"Timmermans S., Berg M.",[No title available],2003,"The Gold Standard: The Challenge of Evidence-based Medicine and Standardization in Health Care",,,Scopus
"Kuutti K.","Activity theory as a potential framework for human-computer interaction research",1996,"Context and Consciousness: Activity Theory and Human-Computer Interaction",,,Scopus
"Oliver C.","The Antecedents of Deinstitutionalization",1992,"Organization Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970268741&doi=10.1177%2f017084069201300403&partnerID=40&md5=953c8ed485baebfb6db842c5a1754fc7",Article,Scopus
"West D.M.","E-Government and the Transformation of Service Delivery and Citizen Attitudes",2004,"Public Administration Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346961553&doi=10.1111%2fj.1540-6210.2004.00343.x&partnerID=40&md5=4b5b3e8db1995b82a4ccda844227db2e",Article,Scopus
[No author name available],[No title available],2001,"Human Development Report 2001",,,Scopus
"Charnes A., Cooper W.W., Rhodes E.","Evaluating program and managerial efficiency: An application of data envelopment analysis to program follow through",1981,"Management Science",,,Scopus
"Kaptelinin V., Nardi B.A.",[No title available],2006,"Acting with Technology: Activity Theory and Interaction Design",,,Scopus
"Ettlie John E., Bridges William P., O'Keefe Robert D.","ORGANIZATION STRATEGY AND STRUCTURAL DIFFERENCES FOR RADICAL VERSUS INCREMENTAL INNOVATION.",1984,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021441537&doi=10.1287%2fmnsc.30.6.682&partnerID=40&md5=f1074ef17baf12844c67a916db5e8728",Article,Scopus
"Reich B.H., Benbasat I.","Factors that influence the social dimension of alignment between business and information technology objectives",2000,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001940135&doi=10.2307%2f3250980&partnerID=40&md5=0876c5beffc08d7432a3f2f805840396",Article,Scopus
"Devaraj S., Kohli R.","Performance impacts of information technology: Is actual usage the missing link?",2003,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037534168&doi=10.1287%2fmnsc.49.3.273.12736&partnerID=40&md5=b34a85e78a90fb7f44cbd09008859ad7",Article,Scopus
"Fui-Hoon Nah F., Lee-Shang Lau J., Kuang J.","Critical factors for successful implementation of enterprise systems",2001,"Business Process Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986172435&doi=10.1108%2f14637150110392782&partnerID=40&md5=db3208d873b707d9ddf3a05ad54ae8b5",Review,Scopus
"Castells M.",[No title available],1998,"End of Millennium",,,Scopus
"Zuboff S.",[No title available],1988,"In the Age of the Smart Machine: The Future of Work and Power",,,Scopus
"Bakos Y.","The Emerging Role of Electronic Marketplaces on the Internet",1998,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032131072&doi=10.1145%2f280324.280330&partnerID=40&md5=1272ca0d6e7f297e31e5ca910e8321e5",Article,Scopus
[No author name available],[No title available],2005,"International Telecommunication Union",,,Scopus
"Lam A.","Tacit knowledge, organizational learning and societal institutions: An integrated framework",2000,"Organization Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0010101822&doi=10.1177%2f0170840600213001&partnerID=40&md5=0d68895f14af3af7caf55f59d40c7744",Article,Scopus
"Barua A., Kriebel C.H., Mukhopadhyay T.","Information technologies and business value: An analytic and empirical investigation",1995,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645050778&doi=10.1287%2fisre.6.1.3&partnerID=40&md5=3a81aaaaf3ff1bf39182be75de000384",Article,Scopus
"Chan Y.E., Huff S.L., Barclay D.W., Copeland D.G.","Business Strategic Orientation, Information Systems Strategic Orientation, and Strategic Alignment",1997,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031475669&doi=10.1287%2fisre.8.2.125&partnerID=40&md5=d4d8311e3c7382ba8b08a14f8907025c",Article,Scopus
"Bingi P., Sharma M.K., Godla J.K.","Critical issues affecting an ERP implementation",1999,"Information Systems Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033137396&doi=10.1201%2f1078%2f43197.16.3.19990601%2f31310.2&partnerID=40&md5=535c697f9cb8cee44f4edec9e8a60121",Article,Scopus
"Parker G.G., Van Alstyne M.W.","Two-sided network effects: A theory of information product design",2005,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27544481423&doi=10.1287%2fmnsc.1050.0400&partnerID=40&md5=5e9847fc6c39ca01a51a5d52d8dea573",Review,Scopus
"Levina N., Vaast E.","The emergence of boundary spanning competence in practice: Implications for implementation and use of information systems",2005,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30344485594&doi=10.2307%2f25148682&partnerID=40&md5=dfe311b0bba36b2e3f9826e8b8578040",Article,Scopus
"Pettigrew A., Whipp R.",[No title available],1991,"Managing Change for Competitive Success",,,Scopus
"Heeks R.","Information systems and developing countries: Failure, success, and local improvisations",2002,"Information Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036017133&doi=10.1080%2f01972240290075039&partnerID=40&md5=8aa03b264b82e32cd8d53c651a9f874f",Article,Scopus
"Van Dijk J.",[No title available],1999,"The Network Society: Social Aspects of New Media",,,Scopus
"Gadgil M., Berkes F., Folke C.","Indigenous knowledge for biodiversity conservation",1993,"Ambio","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027388632&partnerID=40&md5=66ba3fc77ed8cc8993d4e86b007c33f8",Article,Scopus
"Orlikowski W.J., Robey D.","Information technology and the structuring of organizations",1991,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001229464&doi=10.1287%2fisre.2.2.143&partnerID=40&md5=a9339ea3244c396681ece5b3e19ae5e2",Article,Scopus
"Ross J.W., Beath C.M., Goodhue D.L.","Develop long-term competitiveness through IT assets",1996,"Sloan Management Review",,,Scopus
"Damanpour F.","Organizational complexity and innovation: Developing and testing multiple contingency models",1996,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001036918&doi=10.1287%2fmnsc.42.5.693&partnerID=40&md5=37d4061d7c1f6d04af7cd549225078eb",Article,Scopus
"Venkatraman N.","IT-enabled business transformation: From automation to business scope redefinition",1994,"Sloan Management Review",,,Scopus
"Oliner S.D., Sichel D.E.","The resurgence of growth in the late 1990s: Is information technology the story?",2000,"Journal of Economic Perspectives","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002662032&doi=10.1257%2fjep.14.4.3&partnerID=40&md5=9eacd08d1c63f36db2d47087b718a299",Review,Scopus
"Holland C.P., Light B.","Critical success factors model for ERP implementation",1999,"IEEE Software","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032628083&doi=10.1109%2f52.765784&partnerID=40&md5=40eb2f01e07f3ddc662c441f1a56379d",Article,Scopus
"Bakos J.Y.","A strategic analysis of electronic marketplaces",1991,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349142499&doi=10.2307%2f249641&partnerID=40&md5=206ed1940fb576bee91a5495dff51f2e",Article,Scopus
"Henderson J.C., Venkatraman N.","Strategic alignment: leveraging information technology for transforming organizations",1999,"IBM Systems Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032673581&doi=10.1147%2fSJ.1999.5387096&partnerID=40&md5=8ef088708bf61bc7162b44cfefb4486d",Article,Scopus
"Barnett T., Whiteside A.",[No title available],2002,"AIDS in the Twenty-First Century: Disease and Globalization",,,Scopus
"Sabherwal R., Chan Y.E.","Alignment between Business and IS Strategies: A Study of Prospectors, Analyzers, and Defenders",2001,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035589929&doi=10.1287%2fisre.12.1.11.9714&partnerID=40&md5=8519a96bbfe9f3bc876bb54a019dbca5",Article,Scopus
"Röller L.-H., Waverman L.","Telecommunications infrastructure and economic development: A simultaneous approach",2001,"American Economic Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039570932&doi=10.1257%2faer.91.4.909&partnerID=40&md5=0f3e90c84b55c8687928f1218501fd63",Article,Scopus
"Soh C., Kien S.S., Tay-Yap J.","Cultural fits and misfits: Is ERP a universal solution?",2000,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002227327&doi=10.1145%2f332051.332070&partnerID=40&md5=27ebd441374329d3f42747fe6840236e",Article,Scopus
"Gatignon H., Robertson T.S.","A propositional inventory for new diffusion research",1985,"Journal of Consumer Research",,,Scopus
"Miller D.","Configurations of strategy and structure: Towards a synthesis",1986,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989095902&doi=10.1002%2fsmj.4250070305&partnerID=40&md5=477c7ea26c2e2260333be5056f848b6e",Article,Scopus
"de Laet M., Mol A.","The Zimbabwe Bush Pump: Mechanics of a fluid technology",2000,"Social Studies of Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034381583&doi=10.1177%2f030631200030002002&partnerID=40&md5=5e3f843573f72bb33a6c60106aac7f7f",Article,Scopus
"Swanson E.Burton","Information systems innovation among organizations",1994,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028494782&doi=10.1287%2fmnsc.40.9.1069&partnerID=40&md5=29d6765b059d94c77473213a9e815c52",Article,Scopus
"Nolan R.L.","Managing the crisis in data processing",1979,"Harvard Business Review",,,Scopus
"Orlikowski W.J., Barley S.R.","Technology and institutions: What can research on information technology and research on organizations learn from each other?",2001,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013189304&doi=10.2307%2f3250927&partnerID=40&md5=e17fa81775909d17acc060d915d1f8e2",Article,Scopus
[No author name available],[No title available],2004,"Fact Sheet",,,Scopus
"Baskerville R.L., Wood-Harper A.T.","A critical perspective on action research as a method for information systems research",1996,"Journal of Information Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030509189&doi=10.1080%2f026839696345289&partnerID=40&md5=c8426155896b4759b24574305c708f21",Article,Scopus
"Zhu K., Kraemer K., Xu S.","Electronic business adoption by European firms: A cross-country assessment of the facilitators and inhibitors",2003,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1442352635&doi=10.1057%2fpalgrave.ejis.3000475&partnerID=40&md5=87fd6c735b63cdde3cdd8c769c4e5753",Article,Scopus
"Walsham G.","The emergence of interpretivism in IS research",1995,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73549100231&doi=10.1287%2fisre.6.4.376&partnerID=40&md5=1ee7fc64bc026b56782b1a9501f2c243",Article,Scopus
"Vygotsky L.S.",[No title available],1978,"Mind and Society",,,Scopus
"Weill P., Broadbent M.",[No title available],1998,"Leveraging the New Infrastructure: How Market Leaders Capitalize on Information Technology",,,Scopus
"Chatterjee D., Grewal R., Sambamurthy V.","Shaping up for E-commerce: Institutional enablers of the organizational assimilation of Web technologies",2002,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012264014&doi=10.2307%2f4132321&partnerID=40&md5=60a74b16c4f0982cae8808fa461e5c23",Article,Scopus
"Clemons E.K., Row M.C.","Sustaining IT advantage: The role of structural differences",1991,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349121459&doi=10.2307%2f249639&partnerID=40&md5=a0dc48ec2c50f8d5b16b7ad0388abea0",Article,Scopus
"Norton J.A., Bass F.M.","A diffusion theory model of adoption and substitution for successive generations of high-technology products",1987,"Management Science",,,Scopus
"Chau P.Y.K., Tam K.Y.","Factors affecting the adoption of open systems: An exploratory study",1997,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002382036&doi=10.2307%2f249740&partnerID=40&md5=9e1bc6e02158fc24a314d1c6a48029dd",Article,Scopus
"Damanpour F.","Organizational Size and Innovation",1992,"Organization Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970097289&doi=10.1177%2f017084069201300304&partnerID=40&md5=23153e078a912da34ffe618e6a2a5254",Article,Scopus
"Somers T., Nelson K.","The impact of critical success factors across the stages of enterprise resource planning implementations",2001,"Proceedings of the Hawaii International Conference on System Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034970801&doi=10.1109%2fHICSS.2001.927129&partnerID=40&md5=3e161f1b059c492db0f90503d04b131d",Article,Scopus
"Mukhopadhyay T., Kekre S., Kalathur S.","Business value of information technology: A study of electronic data interchange",1995,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30244550225&doi=10.2307%2f249685&partnerID=40&md5=bb152d00bb1b3a0aa29110f076f70c9a",Article,Scopus
"Dedrick J., Gurbaxani V., Kraemer K.L.","Information technology and economic performance: A critical review of the empirical evidence",2003,"ACM Computing Surveys","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842543881&doi=10.1145%2f641865.641866&partnerID=40&md5=8a7c1724b37c9a61473a38c18eddf14f",Review,Scopus
"Ives B., Learmonth G.P.","The information system as a competitive weapon",1984,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021617733&doi=10.1145%2f2135.2137&partnerID=40&md5=28058bf2f6e41bc41e7cfabe2a3f602f",Article,Scopus
"Akrich M., Latour B.","A summary of a convenient vocabulary for the semiotics of human and nonhuman assemblies",1992,"Shaping Technology/Building Society",,,Scopus
"Fichman R.G., Kemerer C.F.","The assimilation of software process innovations: An organizational learning perspective",1997,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031248486&doi=10.1287%2fmnsc.43.10.1345&partnerID=40&md5=1cec8b1d2f0cc7b3236c11577eee36be",Review,Scopus
