Authors,Title,Year,Source title,Link,Document Type,Source
"DiMaggio P.J., Powell W.W.","The iron cage revisited: Institutional isomorphism and collective rationality in organizational fields",1991,"The New Institutionalism in Organizational Analysis",,,Scopus
"Henderson J., Dicken P., Hess M., Coe N., Wai-Chung Yeung H.","Global production networks and the analysis of economic development",2002,"Review of International Political Economy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18744404218&doi=10.1080%2f09692290210150842&partnerID=40&md5=dfb2c616def5e09186509fddf1f8ed3a",Article,Scopus
"Zucker L.G.","Institutional theories of organization.",1987,"Annual review of sociology. Vol. 13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023496834&doi=10.1146%2fannurev.so.13.080187.002303&partnerID=40&md5=f0742e679210267eb52e2cb06566cffc",Article,Scopus
"Mahajan V., Muller E., Bass F.M.","New product diffusion models in marketing: A review and directions for research",1990,"Journal of Marketing",,,Scopus
"Carr N.G.","IT Doesn't Matter",2003,"Harvard Business Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642413541&partnerID=40&md5=e97944de5fa514cef9ad2ea8ad31a8ce",Review,Scopus
"Gersick C.J.G.","Revolutionary change theories: A multilevel exploration of the punctuated equilibrium paradigm",1991,"Academy of Management Review",,,Scopus
"Bakos J.Y.","Reducing buyer search costs: Implications for electronic marketplaces",1997,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031362920&doi=10.1287%2fmnsc.43.12.1676&partnerID=40&md5=c8799c4618b6634abf6be05e03f62b93",Article,Scopus
"Chambers R.","The origins and practice of participatory rural appraisal",1994,"World Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028570368&doi=10.1016%2f0305-750X%2894%2990141-4&partnerID=40&md5=65e3ac68239fdf48f8087f738e60bc51",Article,Scopus
"Orlikowski W.J.","Improvising Organizational Transformation over Time: A Situated Change Perspective",1996,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030509337&doi=10.1287%2fisre.7.1.63&partnerID=40&md5=a80d3cc9ee9e31f9de1bc4e2198a2e94",Review,Scopus
"Boland R.J., Tenkasi R.V.","Perspective making and perspective taking in communities of knowing",1995,"Organization Science",,,Scopus
"Latour B.","The powers of association",1986,"Power, Action and Belief",,,Scopus
"Majone G.",[No title available],1989,"Evidence, Argument and Persuasion in the Policy Process",,,Scopus
"Robbins S.P., Coulter M.",[No title available],2006,"Management",,,Scopus
"Bernstein R.J.",[No title available],1983,"Beyond Objectivism and Relativism",,,Scopus
"Callon M.","Techno-economic networks and irreversibility",1991,"A Sociology of Monsters: Essays on Power, Technology and Domination",,,Scopus
"Nardi B.",[No title available],1996,"Context and Consciousness: Activity Theory and Human-Computer Interaction",,,Scopus
"Czarniawska B.",[No title available],1997,"Narrating the Organization: Dramas of Institutional Identity",,,Scopus
